1name_of_disease,followup_labs,comparison_followup_labs,current_labs,comparison_current_labs,other_assessment,other_plan,associated_conditions,check_missing_labs,superseded_chronic_conditions,home_meds,hpi_assessment
Acute heart failure,,,"Cardiac Profile: (BASETROP, 2HRTROP, 6HRTROP, PROBNPNTERMI)",PROBNPNTERMI,C/o ***;;Chest x-ray ***,"IV ***, Daily weights and I/Os, Monitor kidney function/electrolytes [monitor K/Mg]","Coronary artery disease, Mitral regurgitation, Mitral stenosis, Aortic stenosis, Aortic regurgitation","BASETROP, 2HRTROP, 6HRTROP, PROBNPNTERMI, K, MG",Chronic congestive heart failure,Chronic congestive heart failure,
Hyperkalemia,,,"K, CREAT, GFR",GFR,ECG showing ***;; SAMPLE HEMOLYZED ***,"Renal diet, Repeat K levels after treatment","AKI, CKD, ESRD, rhabdomyolysis, tumor lysis syndrome, DKA, RTA",CPK,,hyperkalemia,
Diabetic ketoacidosis,HGBA1C,HGBA1C,"(GLUCOSE,ANIONGAP, CO2, PHBLOODPOC), K, MG, BETAHYDROXY",,CXR showing ***;; EKG showing ***,"BMP every 4 Hr [notify provider with results], POC glucose every hr with target drop ~ 50 mg/hr, Famotidine IV and NPO","UTI, Acute pyelonephritis, NSTEMI","MG, BETAHYDROXY",,Diabetes mellitus,
Acute cerebrovascular accident,"LDL, HGBA1C",,,,Presenting neurological deficit ***;; CT brain ***;; CTA head and neck/perfusion ***;;       Not a candidate for TNK ***;; Not a candidate for Endovascular therapy ***;; Mechanism: TBD ***,"MRI brain wo contrast/MRA brain wo contrast ***, Ultrasound carotids ***, Echocardiogram, Neurological checks, POC Glucose target 140 to 180 mg/dL, Dysphagia screening and PT/OT, Permissive HTN ***,  Euvolemia/Euthermia/Aspiration precautions/Fall precautions, Telemetry",,"LDL, HGBA1C",Cerebrovascular accident,Cerebrovascular accident,
Acute Pancreatitis,TRIGLYCERIDE,,"Liver enzymes: ( ALT, AST, ALP, BILITOTAL ), Other etiology: (CA, TRIGLYCERIDE), Other: (LIPASE)",,Local complications: ***;;*** signs of infection," Advance diet when N/V/Pain controlled, Analgesia and antiemectics [QTc ***]","Alcohol use disorder, gallstones, biliary sludge, microlithiasis, celiac disease, pancreas divisum",TRIGLYCERIDE,,Chronic pancreatitis,
Hyponatremia,,,,,see above,,,,,,
"Hypokalemia, severe",,,"Electrolytes:(K, MG), Acid-base:(PHBLOODPOC, CO2, ANIONGAP), Kidney function:(CREAT, GFR)",GFR,EKG ***;; QTc ***,Telemetry monitoring,"Acute diarrhea, chronic diarrhea, vomiting","MG, ",,,
Upper GI Bleeding,,,"Anemia:(HGB, MCV), Hemostasis:(PLT, APTT,INR), Code 1986",HGB,Presented with ***;; Hemodynamically ***,"H&H every 8 hr with target Hgb ~ 7, Otherwise transfuse if hemodynamic instability due to ongoing bleed, GI consult","PUD, Esophageal varices, Mallory-Weiss tear, Cameron erosion, Dieulafoy lesion, portal gastropathy","INR, APTT, PLT",,peptic ulcer disease,
NSTEMI,,,"Cardiac Profile: (BASETROP, 2HRTROP, 6HRTROP, PROBNPNTERMI)",,Presenting with ***;; EKG wo ST elevation *** and elevated/uptrending troponin,"Obtain EKG for chest pain/anginal equivalents, Cardiology consult and NPO","Hypertension, hyperlipidemia, diabetes mellitus, current smoker, coronary artery disease, end-stage renal disease, carotid stenosis, peripheral arterial disease, obstructive sleep apean","BASETROP, 2HRTROP, 6HRTROP, PROBNPNTERMI, MG, K",Coronary artery disease,Coronary artery disease,
Clostridium difficile,,,CLOSTRIDIU,,Presenting with ***;; Code 1986;; CT abdomen: ***;; Recent antibiotics use ***;; NH resident ***,"Vancomycin PO, Enteric precautions ","Ulcerative colitis, Crohn's disease",,,,
